"","title","release_date","us_distributor","video_id","Unnamed..0","year"
"1","Old Man & The Gun, The","2019-01-03","Fox Searchlight","d7rlUe-Thvk",NA,2019
"2","Holmes And Watson","2019-01-03","Sony","brjkpRBpFnc",NA,2019
"3","Kindergarten Teacher, The","2019-01-03","","S7Tpamr2P4w",NA,2019
"4","Here And Now (2018)","2019-01-03","Independent","TOWhOVx8IMI",NA,2019
"5","Escape Room","2019-01-10","Sony","6dSKUoV0SNI",NA,2019
"6","On The Basis Of Sex","2019-01-10","Focus Features","28dHbIR_NB4",NA,2019
"7","Vox Lux","2019-01-10","Neon Rated","-y4ti900jog",NA,2019
"8","Once Upon A Deadpool","2019-01-10","20th Century Fox","PCf03KXyzIg",NA,2019
"9","Glass","2019-01-17","Universal","95ghQs5AmNk",NA,2019
"10","Green Book","2019-01-24","Universal","QkZxoko_HC0",NA,2019
"11","Instant Family","2019-01-24","Paramount","IUfZq3DUd3Y",NA,2019
"12","Serenity","2019-01-24","Aviron Pictures","k3zMlsEK8xA",NA,2019
"13","Mule, The","2019-01-31","Warner Bros.","N_QksSzK7sI",NA,2019
"14","Upside, The","2019-01-31","STX Entertainment","EWw7rCHcduQ",NA,2019
"15","At Eternity's Gate","2019-01-31","CBS Films","T77PDm3e1iE",NA,2019
"16","Destroyer","2019-01-31","Annapurna Pictures","u7RdFFk7980",NA,2019
"17","Cold Pursuit","2019-02-07","Lionsgate","0phuNQQ_gHI",NA,2019
"18","Favourite, The","2019-02-07","Fox Searchlight","SYb-wkehT1g",NA,2019
"19","Possession Of Hannah Grace, The","2019-02-07","Sony","RHAgri92JP8",NA,2019
"20","Alita: Battle Angel","2019-02-14","20th Century Fox","w7pYhpJaJW8",NA,2019
"21","Vice","2019-02-14","Annapurna Pictures","g09a9laLh0k",NA,2019
"22","Happy Death Day 2U","2019-02-14","Universal","MT9MBytHuOI",NA,2019
"23","How To Train Your Dragon: The Hidden World","2019-02-21","Universal","22w7z_lT6YM",NA,2019
"24","If Beale Street Could Talk","2019-02-21","Annapurna Pictures","N4m3t3G3Zqc",NA,2019
"25","Sisters Brothers, The","2019-02-21","Annapurna Pictures","3OwvqKwTKmE",NA,2019
"26","Lego Movie 2: The Second Part, The","2019-02-28","Warner Bros.","cksYkEzUa7k",NA,2019
"27","Prodigy, The","2019-02-28","Orion Pictures","BC4cyYRxjFk",NA,2019
"28","Backtrace","2019-02-28","Lionsgate Premiere Releasing","af-tf7i6d6s",NA,2019
"29","Captain Marvel","2019-03-07","Disney","rryMP7aJ12o",NA,2019
"30","Drunk Parents","2019-03-07","Vertical Entertainment","6XdkzKSCcU4",NA,2019
"31","Replicas","2019-03-14","Entertainment Studios Motion Pictures","bKdpGHazAqs",NA,2019
"32","Us (2019)","2019-03-21","Universal","hNCmb-4oXJA",NA,2019
"33","Dumplin","2019-03-21","","k86KDFh_q6E",NA,2019
"34","Kid Like Jake, A","2019-03-21","IFC Films","VTMGI2s5VNs",NA,2019
"35","Dumbo","2019-03-28","Disney","7NiYVoqBt-8",NA,2019
"36","Triple Threat (2019)","2019-03-28","Well Go USA, Inc.","DovnHrIwfTY",NA,2019
"37","Destination Wedding","2019-03-28","Independent","6mrA5ESIbOU",NA,2019
"38","Captive State","2019-03-28","Focus Features","i68xCzI406A",NA,2019
"39","Shazam!","2019-04-04","Warner Bros.","go6GEIrcvFY",NA,2019
"40","Pet Sematary","2019-04-04","Paramount","VllcgXSIJkE",NA,2019
"41","Piercing","2019-04-04","Greenwich Entertainment","T1fJqA1JuYk",NA,2019
"42","After (2019)","2019-04-11","Aviron Pictures","g99KPOpqZ4Q",NA,2019
"43","Wonder Park","2019-04-11","Paramount","VML6rQWssSk",NA,2019
"44","Hellboy","2019-04-11","Lionsgate","dt5g5_1cKVk",NA,2019
"45","Greta (2019)","2019-04-11","Focus Features","WAEoJkL_8zU",NA,2019
"46","Curse Of La Llorona, The","2019-04-18","Warner Bros.","uOV-xMYQ7sk",NA,2019
"47","Aftermath, The","2019-04-18","Fox Searchlight","FPv3e2FZOgo",NA,2019
"48","Missing Link","2019-04-18","United Artists Releasing","7UalKq-DSXI",NA,2019
"49","Avengers: Endgame","2019-04-25","Disney","-9hhb3M6c1A",NA,2019
"50","Teen Spirit","2019-04-25","Bleecker Street","CkA6DpQEKTU",NA,2019
"51","Long Shot (2019)","2019-05-01","Lionsgate","ZKsc2I4Tgsk",NA,2019
"52","Pokemon Detective Pikachu","2019-05-09","Warner Bros.","1roy4o4tqQM",NA,2019
"53","Breakthrough (2019)","2019-05-09","20th Century Fox","go1jaIRQc-o",NA,2019
"54","Intruder, The (2019)","2019-05-09","Sony","aKXvex7b1Ew",NA,2019
"55","We Die Young","2019-05-09","Independent","wTd1RIOb-uU",NA,2019
"56","Beach Bum, The","2019-05-09","Neon Rated","qSALRP1mZNQ",NA,2019
"57","John Wick: Chapter 3 - Parabellum (2019)","2019-05-16","Lionsgate","M7XM597XO94",NA,2019
"58","Fighting With My Family","2019-05-16","MGM","WqF3VTv0cqU",NA,2019
"59","Extremely Wicked, Shockingly Evil and Vile","2019-05-16","","mdMtnvMJcDA",NA,2019
"60","Dog's Journey, A","2019-05-16","Universal","A2FrrSyyKfA",NA,2019
"61","Brightburn","2019-05-23","Sony","g6eB0JT1DI4",NA,2019
"62","Kid, The","2019-05-23","Lionsgate","qpMyCaQGlqU",NA,2019
"63","Godzilla: King Of The Monsters (2019)","2019-05-30","Warner Bros.","QFxN2oDKk0E",NA,2019
"64","Rocketman","2019-05-30","Paramount","S3vO8E2e6G0",NA,2019
"65","Poison Rose, The","2019-05-30","Independent","P6So71lcVdI",NA,2019
"66","Haunting Of Sharon Tate, The","2019-05-30","Independent","ICVydsoFTTk",NA,2019
"67","Rape of Recy Taylor, The","2019-05-30","The Orchard","SCEfwSNv9v8",NA,2019
"68","Don't Let Go","2019-06-04","OTL Releasing","P8PS_tF-3T8",NA,2019
"69","Secret Life Of Pets 2, The","2019-06-06","Universal","mYocfuqu2A8",NA,2019
"70","Dark Phoenix","2019-06-06","20th Century Fox","1-q8C_c-nlM",NA,2019
