"Rank","Distributor","Movies","Gross","Tickets","Share","Year"
1,"Universal",22,1548695460,147074583,20.94,2022
2,"Walt Disney",9,1355344738,128712697,18.33,2022
3,"Paramount Pictures",15,1299271009,123387561,17.57,2022
4,"Warner Bros.",9,934369146,88734012,12.63,2022
5,"Sony Pictures",17,863132447,81968893,11.67,2022
6,"20th Century Studios",8,590355502,56064147,7.98,2022
7,"A24",13,113591448,10787407,1.54,2022
8,"United Artists",12,107258396,10185979,1.45,2022
9,"Lionsgate",5,80704845,7664275,1.09,2022
10,"Focus Features",12,76916208,7304479,1.04,2022
11,"Searchlight Pictures",6,59417899,5642722,0.8,2022
12,"Crunchyroll",3,45402447,4311722,0.61,2022
13,"Fathom Events",10,36549466,3470979,0.49,2022
14,"FUNimation",1,33919605,3221235,0.46,2022
15,"Sarigama Cinemas",2,18848910,1790019,0.25,2022
16,"Neon",12,16561646,1572800,0.22,2022
17,"Netflix",2,15989088,1518431,0.22,2022
18,"Roadside Attractions",11,12884989,1223641,0.17,2022
19,"Iconic Releasing",6,11837807,1124196,0.16,2022
20,"Open Road",3,9864354,936784,0.13,2022
21,"Briarcliff Entertainment",2,9725192,923569,0.13,2022
22,"Fox Star India",1,7839108,744454,0.11,2022
23,"Trafalgar Releasing",2,7715000,732667,0.1,2022
24,"Janus Films",6,7435674,706140,0.1,2022
25,"Bleecker Street",8,7170640,680969,0.1,2022
26,"Rialto Pictures",10,7167131,680634,0.1,2022
27,"Sony Pictures Classics",14,6767075,642647,0.09,2022
28,"Viva Entertainment",2,6719562,638134,0.09,2022
29,"GKIDS",5,5345953,507686,0.07,2022
30,"LD Entertainment",1,4588389,435744,0.06,2022
31,"Gravitas Ventures",3,4396409,417511,0.06,2022
32,"Yash Raj Films",2,3553804,337493,0.05,2022
33,"Blue Fox Entertainment",3,2608056,247677,0.04,2022
34,"IFC Films",22,2338166,222039,0.03,2022
35,"IFC Midnight",10,2265023,215098,0.03,2022
36,"MUBI",5,2232728,212033,0.03,2022
37,"The Avenue Entertainment",2,2209487,209827,0.03,2022
38,"Well Go USA",11,2119987,201321,0.03,2022
39,"Pantelion Films",2,2088664,198353,0.03,2022
40,"ShortsHD",1,1801646,171096,0.02,2022
41,"Great India Films",1,1800000,170940,0.02,2022
42,"Moviegoers Entertainment",1,1540000,146248,0.02,2022
43,"UP2U Films",1,1511980,143587,0.02,2022
44,"Zee Studios",1,1485000,141025,0.02,2022
45,"D’Souza Media",1,1465512,139174,0.02,2022
46,"Utopia",11,1447281,137438,0.02,2022
47,"Self Distributed",1,1412000,134093,0.02,2022
48,"Kino Lorber",27,886543,84180,0.01,2022
49,"Atlas Distribution",3,712132,67627,0.01,2022
50,"Prime Media Pictures",1,621000,58974,0.01,2022
51,"Capelight Pictures",1,613026,58217,0.01,2022
52,"Greenwich",10,542536,51518,0.01,2022
53,"Vertical Entertainment",4,504727,47930,0.01,2022
54,"Fin and Fur Films",1,480240,45606,0.01,2022
55,"Oscilloscope Pictures",11,472352,44852,0.01,2022
56,"RLJ Entertainment",3,452233,42945,0.01,2022
57,"Music Box Films",10,423872,40248,0.01,2022
58,"Cinegalaxy",1,395000,37511,0.01,2022
59,"Collide Distribution",1,391167,37147,0.01,2022
60,"Magnolia Pictures",10,375033,35609,0.01,2022
61,"Purdie Distribution",3,373976,35514,0.01,2022
62,"Super LTD",4,332310,31556,0,2022
63,"Shudder",1,325042,30868,0,2022
64,"Integrity Releasing",2,270465,25685,0,2022
65,"Hamsini",1,270000,25641,0,2022
66,"A Slice of Pie Productions",1,257371,24441,0,2022
67,"Archway Pictures",1,213101,20237,0,2022
68,"Wide Lens Pictures",2,195369,18553,0,2022
69,"Mongrel Media",5,174085,16530,0,2022
70,"Magnet Releasing",7,130490,12389,0,2022
71,"Screen Media Films",1,100197,9515,0,2022
72,"National Geographic Entertainment",1,69316,6582,0,2022
73,"Indican Pictures",10,67720,6425,0,2022
74,"Gray Hat Productions",1,63498,6030,0,2022
75,"Zeitgeist",2,52490,4984,0,2022
76,"Yellow Veil Pictures",1,47039,4467,0,2022
77,"Tricycle Logic",1,43829,4162,0,2022
78,"360 Distribution",1,43563,4137,0,2022
79,"Submarine Deluxe",1,43467,4127,0,2022
80,"Tallgrass Films",1,43170,4099,0,2022
81,"Freestyle Releasing",2,41421,3932,0,2022
82,"Avco Embassy",1,33048,3138,0,2022
83,"Double J Productions",1,30801,2925,0,2022
84,"Soilsiu Films",1,24376,2314,0,2022
85,"Good Deed Entertainment",2,22447,2130,0,2022
86,"Zipporah",1,18334,1741,0,2022
87,"Wolfe Releasing",1,15998,1519,0,2022
88,"The Film Collaborative",1,15261,1449,0,2022
89,"Big World Pictures",2,15079,1431,0,2022
90,"MTV Documentary Films",1,10984,1043,0,2022
91,"Cinema Guild",1,9150,868,0,2022
92,"Reel Peak Films",1,6967,661,0,2022
93,"Lightyear Entertainment",1,4258,404,0,2022
94,"Safier Entertainment",1,3029,287,0,2022
95,"Cohen Media Group",1,2934,278,0,2022
96,"ArtMattan Films",1,2830,268,0,2022
97,"Sumbadhat Productions",1,2022,192,0,2022
98,"The Daily Wire",1,804,76,0,2022
99,"Mutiny Pictures",1,570,54,0,2022
