"Rank","Distributor","Movies","Gross_2023","Tickets","Share","Year"
1,"Universal",20,1824755288,166796638,20.36,2023
2,"Walt Disney",12,1446951947,132262516,16.14,2023
3,"Warner Bros.",14,1404700677,128400429,15.67,2023
4,"Sony Pictures",27,982565789,89814058,10.96,2023
5,"Paramount Pictures",10,844379150,77182736,9.42,2023
6,"Lionsgate",13,586208375,53583940,6.54,2023
7,"20th Century Studios",6,418866609,38287624,4.67,2023
8,"Angel Studios",4,219664985,20079064,2.45,2023
9,"AMC Theatres Distribution",2,213784152,19541512,2.39,2023
10,"MGM",5,187636593,17151423,2.09,2023
11,"A24",17,138185438,12631201,1.54,2023
12,"Focus Features",11,116761390,10672883,1.3,2023
13,"Fathom Events",21,53694713,4908100,0.6,2023
14,"Amazon Studios",1,52460106,4795256,0.59,2023
15,"Yash Raj Films",5,47715688,4361578,0.53,2023
16,"Toho International",1,45580412,4166399,0.51,2023
17,"GKIDS",5,37549611,3432320,0.42,2023
18,"Amazon MGM Studios",3,34910467,3191083,0.39,2023
19,"Neon",14,31456578,2875365,0.35,2023
20,"Searchlight Pictures",8,29476330,2694362,0.33,2023
21,"Crunchyroll",4,20325117,1857872,0.23,2023
22,"Bleecker Street",7,15666829,1432065,0.17,2023
23,"Roadside Attractions",10,15207892,1390114,0.17,2023
24,"Moksha Movies",1,14770658,1350151,0.16,2023
25,"Briarcliff Entertainment",3,13020630,1190184,0.15,2023
26,"Sony Pictures Classics",15,10777190,985110,0.12,2023
27,"Trafalgar Releasing",3,9939021,908501,0.11,2023
28,"Pantelion Films",2,8796826,804097,0.1,2023
29,"Well Go USA",15,8786283,803127,0.1,2023
30,"Prathyangira Cinemas",1,8268986,755848,0.09,2023
31,"IFC Films",20,6927381,633205,0.08,2023
32,"SDG Releasing",1,5433686,496680,0.06,2023
33,"Relativity",1,5314136,485752,0.06,2023
34,"United Artists",1,5304544,484876,0.06,2023
35,"Viva Pictures",2,5014650,458377,0.06,2023
36,"Zee Studios",2,4948000,452284,0.06,2023
37,"Ketchup Entertainment",2,4578250,418487,0.05,2023
38,"Open Road",1,4350243,397645,0.05,2023
39,"Janus Films",16,4200558,383955,0.05,2023
40,"Ayngaran International",1,4088000,373674,0.05,2023
41,"Viacom18 Motion Pictures",1,3200000,292504,0.04,2023
42,"ShortsHD",1,3023866,276404,0.03,2023
43,"Iconic Releasing",9,2689244,245812,0.03,2023
44,"Rialto Pictures",13,2542150,232365,0.03,2023
45,"Vertical Entertainment",5,2540174,232189,0.03,2023
46,"Hidden Empire Releasing",1,2138235,195451,0.02,2023
47,"Magnolia Pictures",12,2052984,187653,0.02,2023
48,"IFC Midnight",1,2052272,187593,0.02,2023
49,"Blue Fox Entertainment",8,1745044,159506,0.02,2023
50,"Super LTD",2,1713967,156668,0.02,2023
51,"Falling Forward Films",1,1607344,146923,0.02,2023
52,"MUBI",6,1472892,134631,0.02,2023
53,"Kino Lorber",25,1323539,120968,0.01,2023
54,"RLJ Entertainment",6,1281117,117100,0.01,2023
55,"Oscilloscope Pictures",10,1119666,102341,0.01,2023
56,"Friday Entertainment",1,1080000,98720,0.01,2023
57,"Variance Films",2,951690,86991,0.01,2023
58,"Capelight Pictures",1,909411,83127,0.01,2023
59,"CMC Pictures",1,820000,74954,0.01,2023
