"","title","release_date","title_clean","title_clean_match"
"1","Old Man & The Gun, The","2019-01-03","the old man and the gun","the old man and the gun"
"2","Holmes And Watson","2019-01-03","holmes and watson","holmes and watson"
"3","Kindergarten Teacher, The","2019-01-03","the kindergarten teacher","the kindergarten teacher"
"4","Here And Now (2018)","2019-01-03","here and now","here and now"
"5","Escape Room","2019-01-10","escape room","escape room"
"6","On The Basis Of Sex","2019-01-10","on the basis of sex","on the basis of sex"
"7","Vox Lux","2019-01-10","vox lux","vox lux"
"8","Once Upon A Deadpool","2019-01-10","once upon a deadpool","once upon a deadpool"
"9","Glass","2019-01-17","glass","glass"
"10","Green Book","2019-01-24","green book","green book"
"11","Instant Family","2019-01-24","instant family","instant family"
"12","Serenity","2019-01-24","serenity","serenity"
"13","Mule, The","2019-01-31","the mule","the mule"
"14","Upside, The","2019-01-31","the upside","the upside"
"15","At Eternity's Gate","2019-01-31","at eternitys gate","at eternitys gate"
"16","Destroyer","2019-01-31","destroyer","destroyer"
"17","Cold Pursuit","2019-02-07","cold pursuit","cold pursuit"
"18","Favourite, The","2019-02-07","the favourite","the favourite"
"19","Possession Of Hannah Grace, The","2019-02-07","the possession of hannah grace","the possession of hannah grace"
"20","Alita: Battle Angel","2019-02-14","alita battle angel","alita battle angel"
"21","Vice","2019-02-14","vice","vice"
"22","Happy Death Day 2U","2019-02-14","happy death day 2u","happy death day 2u"
"23","How To Train Your Dragon: The Hidden World","2019-02-21","how to train your dragon the hidden world","how to train your dragon the hidden world"
"24","If Beale Street Could Talk","2019-02-21","if beale street could talk","if beale street could talk"
"25","Sisters Brothers, The","2019-02-21","the sisters brothers","the sisters brothers"
"26","Dead Trigger","2019-02-21","dead trigger","dead trigger"
"27","Lego Movie 2: The Second Part, The","2019-02-28","the lego movie 2 the second part","the lego movie 2 the second part"
"28","Prodigy, The","2019-02-28","the prodigy","the prodigy"
"29","Backtrace","2019-02-28","backtrace","backtrace"
"30","Captain Marvel","2019-03-07","captain marvel","captain marvel"
"31","Drunk Parents","2019-03-07","drunk parents","drunk parents"
"32","Replicas","2019-03-14","replicas","replicas"
"33","Us (2019)","2019-03-21","us","us"
"34","Dumplin","2019-03-21","dumplin","dumplin"
"35","Kid Like Jake, A","2019-03-21","a kid like jake","a kid like jake"
"36","Dumbo","2019-03-28","dumbo","dumbo"
"37","Triple Threat (2019)","2019-03-28","triple threat","triple threat"
"38","Destination Wedding","2019-03-28","destination wedding","destination wedding"
"39","Captive State","2019-03-28","captive state","captive state"
"40","Shazam!","2019-04-04","shazam","shazam"
"41","Pet Sematary","2019-04-04","pet sematary","pet sematary"
"42","Piercing","2019-04-04","piercing","piercing"
"43","After (2019)","2019-04-11","after","after"
"44","Wonder Park","2019-04-11","wonder park","wonder park"
"45","Hellboy","2019-04-11","hellboy","hellboy"
"46","Greta (2019)","2019-04-11","greta","greta"
"47","Curse Of La Llorona, The","2019-04-18","the curse of la llorona","the curse of la llorona"
"48","Aftermath, The","2019-04-18","the aftermath","the aftermath"
"49","Missing Link","2019-04-18","missing link","missing link"
"50","Avengers: Endgame","2019-04-25","avengers endgame","avengers endgame"
"51","Teen Spirit","2019-04-25","teen spirit","teen spirit"
"52","Long Shot (2019)","2019-05-01","long shot","long shot"
"53","Pokemon Detective Pikachu","2019-05-09","pokemon detective pikachu","pokemon detective pikachu"
"54","Breakthrough (2019)","2019-05-09","breakthrough","breakthrough"
"55","Intruder, The (2019)","2019-05-09","intruder the","intruder the"
"56","We Die Young","2019-05-09","we die young","we die young"
"57","Beach Bum, The","2019-05-09","the beach bum","the beach bum"
"58","John Wick: Chapter 3 - Parabellum (2019)","2019-05-16","john wick chapter 3 parabellum","john wick chapter 3 parabellum"
"59","Fighting With My Family","2019-05-16","fighting with my family","fighting with my family"
"60","Extremely Wicked, Shockingly Evil and Vile","2019-05-16","extremely wicked shockingly evil and vile","extremely wicked shockingly evil and vile"
"61","Dog's Journey, A","2019-05-16","a dogs journey","a dogs journey"
"62","Aladdin","2019-05-23","aladdin","aladdin"
"63","Brightburn","2019-05-23","brightburn","brightburn"
"64","Kid, The","2019-05-23","the kid","the kid"
"65","Godzilla: King Of The Monsters (2019)","2019-05-30","godzilla king of the monsters","godzilla king of the monsters"
"66","Rocketman","2019-05-30","rocketman","rocketman"
