"","title","release_date","title_clean","title_clean_match"
"1","Fatman",2021-01-07,"fatman","fatman"
"2","Nomadland",2021-04-19,"nomadland","nomadland"
"3","Raya And The Last Dragon",2021-04-19,"raya and the last dragon","raya and the last dragon"
"4","Mortal Kombat",2021-04-19,"mortal kombat","mortal kombat"
"5","Music (Event)",2021-04-19,"music event","music event"
"6","Tom & Jerry",2021-05-06,"tom and jerry","tom and jerry"
"7","Godzilla vs. Kong",2021-05-06,"godzilla vs kong","godzilla vs kong"
"8","Unholy, The",2021-05-06,"the unholy","the unholy"
"9","Promising Young Woman",2021-05-06,"promising young woman","promising young woman"
"10","No Man's Land (2020)",2021-05-06,"no mans land","no mans land"
"11","Spiral (dir. Bousman)",2021-05-13,"spiral dir bousman","spiral dir bousman"
"12","Monster Hunter",2021-05-13,"monster hunter","monster hunter"
"13","Those Who Wish Me Dead",2021-05-13,"those who wish me dead","those who wish me dead"
"14","Minari",2021-05-13,"minari","minari"
"15","Friendsgiving",2021-05-13,"friendsgiving","friendsgiving"
"16","Peter Rabbit 2: The Runaway",2021-05-20,"peter rabbit 2 the runaway","peter rabbit 2 the runaway"
"17","Wrath Of Man",2021-05-20,"wrath of man","wrath of man"
"18","United States vs. Billie Holiday, The",2021-05-20,"the united states vs billie holiday","the united states vs billie holiday"
"19","Cruella",2021-05-27,"cruella","cruella"
"20","Quiet Place Part II, A",2021-05-27,"a quiet place part ii","a quiet place part ii"
"21","Nobody",2021-05-27,"nobody","nobody"
"22","Blackbird (2020)",2021-05-27,"blackbird","blackbird"
"23","Tesla",2021-05-27,"tesla","tesla"
"24","Conjuring: The Devil Made Me Do It, The",2021-06-03,"the conjuring the devil made me do it","the conjuring the devil made me do it"
"25","Spirit Untamed",2021-06-03,"spirit untamed","spirit untamed"
"26","Vanquish",2021-06-03,"vanquish","vanquish"
"27","Synchronic",2021-06-03,"synchronic","synchronic"
"28","Chaos Walking",2021-06-10,"chaos walking","chaos walking"
"29","In the Heights",2021-06-10,"in the heights","in the heights"
"30","Marksman, The",2021-06-10,"the marksman","the marksman"
"31","Hitman's Wife's Bodyguard, The",2021-06-17,"the hitmans wifes bodyguard","the hitmans wifes bodyguard"
"32","Extinct",2021-06-17,"extinct","extinct"
"33","F9 The Fast Saga",2021-06-24,"f9 the fast saga","f9 the fast saga"
"34","Croods: A New Age, The",2021-07-01,"the croods a new age","the croods a new age"
"35","Ice Road, The",2021-07-01,"the ice road","the ice road"
"36","First Cow",2021-07-01,"first cow","first cow"
"37","Four Good Days",2021-07-01,"four good days","four good days"
"38","Stand-In, The",2021-07-01,"the standin","the standin"
"39","Black Widow",2021-07-08,"black widow","black widow"
"40","Every Breath You Take",2021-07-08,"every breath you take","every breath you take"
"41","Escape Room: Tournament of Champions",2021-07-15,"escape room tournament of champions","escape room tournament of champions"
"42","Space Jam: A New Legacy",2021-07-15,"space jam a new legacy","space jam a new legacy"
"43","Gunpowder Milkshake",2021-07-15,"gunpowder milkshake","gunpowder milkshake"
"44","Snake Eyes",2021-07-22,"snake eyes","snake eyes"
"45","Comeback Trail, The",2021-07-22,"the comeback trail","the comeback trail"
"46","Sweet Thing",2021-07-22,"sweet thing","sweet thing"
"47","Jungle Cruise",2021-07-29,"jungle cruise","jungle cruise"
"48","Old",2021-07-29,"old","old"
"49","Suicide Squad, The",2021-08-05,"the suicide squad","the suicide squad"
"50","To the Stars (dir. Stephens)",2021-08-05,"to the stars dir stephens","to the stars dir stephens"
"51","Above Suspicion",2021-08-05,"above suspicion","above suspicion"
"52","Respect",2021-08-12,"respect","respect"
"53","Don't Breathe 2",2021-08-12,"dont breathe 2","dont breathe 2"
"54","Boss Level",2021-08-12,"boss level","boss level"
"55","Echo Boomers",2021-08-12,"echo boomers","echo boomers"
"56","Free Guy",2021-08-19,"free guy","free guy"
"57","Paw Patrol: The Movie",2021-08-19,"paw patrol","paw patrol"
"58","Reminiscence",2021-08-19,"reminiscence","reminiscence"
"59","Barb And Star Go To Vista del Mar",2021-08-19,"barb and star go to vista del mar","barb and star go to vista del mar"
"60","Boss Baby: Family Business, The",2021-08-26,"the boss baby family business","the boss baby family business"
"61","Candyman",2021-08-26,"candyman","candyman"
"62","Protege, The",2021-08-26,"the protege","the protege"
"63","Queenpins",2021-08-26,"queenpins","queenpins"
"64","Shang-Chi and the Legend of the Ten Rings",2021-09-02,"shangchi and the legend of the ten rings","shangchi and the legend of the ten rings"
"65","After We Fell (Event)",2021-09-02,"after we fell event","after we fell event"
"66","Come Away",2021-09-02,"come away","come away"
"67","Malignant",2021-09-09,"malignant","malignant"
"68","Rock Dog 2: Walk Around the Park",2021-09-09,"rock dog 2","rock dog 2"
"69","Green Knight, The",2021-09-09,"the green knight","the green knight"
"70","What Is Life Worth",2021-09-09,"what is life worth","what is life worth"
"71","Cry Macho",2021-09-16,"cry macho","cry macho"
"72","Midnight in the Switchgrass",2021-09-16,"midnight in the switchgrass","midnight in the switchgrass"
"73","Dreamland (2020)",2021-09-16,"dreamland","dreamland"
"74","Till Death",2021-09-23,"till death","till death"
"75","Copshop",2021-09-23,"copshop","copshop"
"76","No Time To Die",2021-09-30,"no time to die","no time to die"
"77","Songbird",2021-09-30,"songbird","songbird"
"78","Fatima",2021-10-07,"fatima","fatima"
"79","Misfits, The",2021-10-07,"the misfits","the misfits"
"80","Run",2021-10-07,"run","run"
"81","Flag Day",2021-10-07,"flag day","flag day"
"82","Seder-Masochism",2021-10-11,"sedermasochism","sedermasochism"
"83","Venom: Let There Be Carnage",2021-10-14,"venom let there be carnage","venom let there be carnage"
"84","Ron's Gone Wrong",2021-10-14,"rons gone wrong","rons gone wrong"
"85","Dune",2021-10-21,"dune","dune"
"86","Halloween Kills",2021-10-21,"halloween kills","halloween kills"
"87","Ailey",2021-10-21,"ailey","ailey"
"88","Addams Family 2, The",2021-10-28,"the addams family 2","the addams family 2"
"89","Last Duel, The",2021-10-28,"the last duel","the last duel"
"90","Last Night In Soho",2021-10-28,"last night in soho","last night in soho"
"91","Mercy Black",2021-10-28,"mercy black","mercy black"
"92","Eternals",2021-11-04,"eternals","eternals"
"93","Red Notice",2021-11-04,"red notice","red notice"
"94","French Dispatch, The",2021-11-11,"the french dispatch","the french dispatch"
"95","Antlers",2021-11-11,"antlers","antlers"
"96","Doorman, The",2021-11-11,"the doorman","the doorman"
"97","King Richard",2021-11-18,"king richard","king richard"
"98","Card Counter, The",2021-11-18,"the card counter","the card counter"
"99","Encanto",2021-11-25,"encanto","encanto"
"100","House Of Gucci",2021-11-25,"house of gucci","house of gucci"
"101","Ghostbusters: Afterlife",2021-11-25,"ghostbusters afterlife","ghostbusters afterlife"
"102","Sing 2",2021-12-01,"sing 2","sing 2"
"103","West Side Story",2021-12-08,"west side story","west side story"
"104","Pig",2021-12-08,"pig","pig"
"105","Don't Look Up",2021-12-08,"dont look up","dont look up"
"106","Spider-Man: No Way Home",2021-12-16,"spiderman no way home","spiderman no way home"
"107","Clifford The Big Red Dog",2021-12-16,"clifford the big red dog","clifford the big red dog"
"108","Matrix Resurrections, The",2021-12-22,"the matrix resurrections","the matrix resurrections"
