"Rank","Name","Worldwide_Box_Office","Movies","Average"
1,"Samuel L. Jackson",14604061129,71,205691002
2,"Scarlett Johansson",14532761186,36,403687811
3,"Robert Downey, Jr.",14315312353,45,318118052
4,"Zoe Saldana",14233745814,35,406678452
5,"Chris Pratt",14128645155,26,543409429
6,"Tom Cruise",12284036915,45,272978598
7,"Chris Hemsworth",12189867298,28,435352404
8,"Vin Diesel",11993665573,28,428345199
9,"Dwayne Johnson",11445774265,38,301204586
10,"Bradley Cooper",11389840404,31,367414207
11,"Chris Evans",11382674806,29,392506028
12,"Tom Hanks",10881762678,58,187616598
13,"Johnny Depp",10356786497,54,191792343
14,"Tom Holland",9959207219,18,553289290
15,"Mark Ruffalo",9884336869,24,411847370
16,"Emma Watson",9283941507,16,580246344
17,"Will Smith",9013982453,37,243621147
18,"Don Cheadle",8996406819,23,391148123
19,"Dave Bautista",8835222956,32,276100717
20,"Jeremy Renner",8780068753,19,462108882
21,"Harrison Ford",8587425781,43,199707576
22,"Karen Gillan",8445016120,18,469167562
23,"Daniel Radcliffe",8417362088,27,311754151
24,"Josh Brolin",8370627384,27,310023236
25,"Elizabeth Olsen",8352912444,21,397757735
26,"Steve Carell",8330928739,33,252452386
27,"Benedict Cumberbatch",8289846201,23,360428096
28,"Jack Black",7881300365,32,246290636
29,"Rupert Grint",7709475605,14,550676829
30,"Hugh Jackman",7705768640,37,208264017
31,"Chadwick Boseman",7574342116,11,688576556
32,"Letitia Wright",7494425499,12,624535458
33,"Sebastian Stan",7428734905,18,412707495
34,"Leonardo DiCaprio",7371584461,28,263270874
35,"Matt Damon",7317350684,47,155688312
36,"Danai Gurira",6959229594,5,1391845919
37,"Tom Hiddleston",6950756725,16,434422295
38,"Brad Pitt",6923252244,47,147303239
39,"Bruce Willis",6816385451,88,77458926
40,"Paul Bettany",6805513152,16,425344572
41,"Eddie Murphy",6749566860,47,143607806
42,"Liam Neeson",6699771952,61,109832327
43,"Ryan Reynolds",6596029988,43,153396046
44,"Sam Worthington",6531996421,25,261279857
45,"Pom Klementieff",6483778884,5,1296755777
46,"Benedict Wong",6427467194,7,918209599
47,"Ben Stiller",6377724340,36,177159009
48,"Jason Statham",6376708694,43,148295551
49,"Ian McKellen",6288816681,20,314440834
50,"Nicolas Cage",6160321404,97,63508468
51,"Jim Carrey",6111094260,31,197132073
52,"Idris Elba",6100728378,32,190647762
53,"Gwyneth Paltrow",6094420445,20,304721022
54,"Mark Wahlberg",6092862434,48,126934634
55,"Jennifer Lawrence",6081577257,26,233906818
56,"Ewan McGregor",5887303673,39,150956504
57,"Christian Bale",5873613329,39,150605470
58,"Cameron Diaz",5825795489,31,187928887
59,"Keanu Reeves",5702335140,54,105598799
60,"Natalie Portman",5652633880,37,152773889
61,"Paul Rudd",5559464977,34,163513676
62,"Josh Gad",5458352697,18,303241817
63,"Julia Roberts",5443764518,39,139583706
64,"Brie Larson",5433066090,14,388076149
65,"Sandra Bullock",5400172180,35,154290634
66,"Martin Freeman",5332064837,16,333254052
67,"Adam Sandler",5240884999,45,116464111
68,"Ben Affleck",5189820336,46,112822181
69,"Robert De Niro",5188676630,80,64858458
70,"Ralph Fiennes",5185893902,33,157148300
71,"Sylvester Stallone",5147116903,55,93583944
72,"Lupita Nyong'o",5095468701,11,463224427
73,"Owen Wilson",5012523432,38,131908511
74,"Adam Driver",4976558858,22,226207221
75,"Michelle Rodriguez",4903655739,18,272425319
76,"Denzel Washington",4896068243,49,99919760
77,"George Clooney",4888226289,38,128637534
78,"Daniel Craig",4870610623,19,256347928
79,"Orlando Bloom",4843634436,24,201818102
80,"Daisy Ridley",4834589841,16,302161865
81,"Morgan Freeman",4804447107,50,96088942
82,"Robert Pattinson",4790956392,27,177442829
83,"Robin Williams",4787155596,39,122747579
84,"John Boyega",4774823242,15,318321549
85,"Anthony Mackie",4732712842,26,182027417
86,"Will Ferrell",4708791760,41,114848580
87,"Kevin Hart",4705986533,35,134456758
88,"Mel Gibson",4630515132,55,84191184
89,"Simon Pegg",4503321278,26,173204665
90,"Seth Rogen",4498250083,27,166601855
91,"Arnold Schwarzenegger",4475380397,36,124316122
92,"Shia LaBeouf",4474032510,32,139813516
93,"Keegan-Michael Key",4411730810,18,245096156
94,"Jason Momoa",4397972561,14,314140897
95,"Jude Law",4389219718,38,115505782
96,"Meryl Streep",4382405320,51,85929516
97,"Anthony Hopkins",4370467529,47,92988671
98,"Evangeline Lilly",4336662716,8,542082840
99,"Keira Knightley",4309338978,29,148597896
100,"Channing Tatum",4295144548,33,130155895
101,"Mark Hamill",4283917363,14,305994097
102,"Jon Favreau",4258842261,6,709807044
103,"Russell Crowe",4206162424,45,93470276
104,"Tim Allen",4188445710,20,209422286
105,"Michael Douglas",4167583645,37,112637396
106,"Charlize Theron",4134625920,34,121606645
107,"Geoffrey Rush",4132144455,17,243067321
108,"Mike Myers",4129776138,16,258111009
109,"Michelle Pfeiffer",4067844956,40,101696124
110,"Kristen Stewart",4054020467,32,126688140
111,"Angelina Jolie",4049498706,24,168729113
112,"Colin Farrell",4036889977,37,109105135
113,"Paul Walker",4023969240,16,251498078
114,"Andy Serkis",4006095477,11,364190498
115,"John Travolta",4005587523,58,69061854
116,"Nicole Kidman",3989166710,57,69985381
117,"Anne Hathaway",3976126146,38,104634899
118,"Antonio Banderas",3950457028,37,106769109
119,"Zendaya",3913455867,12,326121322
120,"Margot Robbie",3796617242,22,172573511
121,"Bill Murray",3757293570,39,96340861
122,"Cate Blanchett",3752447218,30,125081574
123,"Chris Pine",3725105155,24,155212715
124,"Kristen Bell",3701505106,22,168250232
125,"Viggo Mortensen",3696914547,26,142189021
126,"Pierce Brosnan",3693396065,41,90082831
127,"Taylor Lautner",3684355306,10,368435531
128,"Chris Rock",3617694874,23,157291081
129,"Angela Bassett",3584263514,15,238950901
130,"John Leguizamo",3573538568,24,148897440
131,"Woody Harrelson",3567203449,46,77547901
