"Rank","Name","Domestic_Box_Office","Movies","Average"
1,"Steven Spielberg",4636662927,37,125315214
2,"James Cameron",2697508805,14,192679200
3,"Christopher Nolan",2412615848,14,172329703
4,"Michael Bay",2349060734,18,130503374
5,"Anthony Russo",2280821799,9,253424644
6,"Joe Russo",2280821799,10,228082180
7,"Tim Burton",2251650374,20,112582519
8,"J.J. Abrams",2198878974,7,314125568
9,"Peter Jackson",2162574522,15,144171635
10,"Robert Zemeckis",2127381152,25,85095246
11,"Ron Howard",2107492567,36,58541460
12,"Clint Eastwood",1991216528,40,49780413
13,"Ridley Scott",1943874042,32,60746064
14,"Sam Raimi",1940018367,16,121251148
15,"David Yates",1891553404,10,189155340
16,"Shawn Levy",1888149318,16,118009332
17,"Jon Favreau",1887952810,10,188795281
18,"George Lucas",1789190544,6,298198424
19,"Chris Columbus",1751557538,19,92187239
20,"Chris Renaud",1724287095,6,287381183
21,"Francis Lawrence",1647831838,12,137319320
22,"Jon Watts",1540944562,6,256824094
23,"Ryan Coogler",1538556205,5,307711241
24,"Gore Verbinski",1529313769,12,127442814
25,"M. Night Shyamalan",1470912210,16,91932013
26,"Todd Phillips",1431000447,11,130090950
27,"Brad Bird",1402837707,6,233806285
28,"Roland Emmerich",1368123123,15,91208208
29,"Bryan Singer",1358536966,10,135853697
30,"Zack Snyder",1319613325,13,101508717
31,"James Wan",1285485165,12,107123764
32,"Bill Condon",1250466252,13,96189712
33,"Richard Donner",1241440476,19,65338972
34,"Pierre Coffin",1221492160,5,244298432
35,"Andrew Stanton",1163691774,5,232738355
36,"James Gunn",1155311072,9,128367897
37,"Andrew Adamson",1154044965,6,192340828
38,"James Mangold",1149346719,13,88411286
39,"Brett Ratner",1141127806,12,95093984
40,"Steven Soderbergh",1128914799,38,29708284
41,"Jay Roach",1126880733,16,70430046
42,"Joss Whedon",1112207145,4,278051786
43,"Conrad Vernon",1106588133,7,158084019
44,"Martin Scorsese",1102486917,31,35564094
45,"Ivan Reitman",1100044915,15,73336328
46,"Dennis Dugan",1096202008,15,73080134
47,"Tony Scott",1091945398,16,68246587
48,"Rob Marshall",1086580004,7,155225715
49,"Barry Sonnenfeld",1075149233,12,89595769
50,"Jon Turteltaub",1052846655,13,80988204
51,"John Lasseter",1051798233,6,175299706
52,"Jon M. Chu",1047160930,14,74797209
53,"Colin Trevorrow",1038556766,5,207711353
54,"Garry Marshall",1023085661,18,56838092
55,"Justin Lin",1019230661,11,92657333
56,"Jake Kasdan",1016819667,8,127102458
57,"Tyler Perry",1012562012,32,31642563
58,"Chris Buck",1001168102,4,250292026
59,"Joseph Kosinski",998242870,6,166373812
60,"Sam Mendes",994264034,14,71018860
61,"Guy Ritchie",984371051,19,51809003
62,"Kyle Balda",971219765,4,242804941
63,"Tom McGrath",970881049,7,138697293
64,"Joel Schumacher",962409757,23,41843902
65,"Pete Docter",940561454,4,235140364
66,"Peyton Reed",916410864,7,130915838
67,"Mike Mitchell",900235192,9,100026132
68,"Carlos Saldanha",897345868,8,112168234
69,"Tom Shadyac",894892308,8,111861539
70,"Tim Story",889845720,20,44492286
71,"Rob Minkoff",886169375,10,88616938
72,"Jennifer Lee",878326587,2,439163294
73,"Rian Johnson",869107390,6,144851232
74,"Joe Johnston",864635053,11,78603187
75,"David Fincher",864274467,12,72022872
76,"Peter Segal",843206980,12,70267248
77,"Ron Clements",842889830,7,120412833
78,"F. Gary Gray",837019935,14,59787138
79,"Matt Reeves",822878410,7,117554059
80,"Antoine Fuqua",821272125,23,35707484
81,"Raja Gosnell",820457129,11,74587012
82,"Sydney Pollack",819954986,18,45553055
83,"John Musker",819284296,6,136547383
84,"Barry Levinson",815381574,28,29120771
85,"Bobby Farrelly",808473827,16,50529614
86,"Robert Rodriguez",800982309,25,32039292
87,"Quentin Tarantino",796272220,12,66356018
88,"Greta Gerwig",793839704,4,198459926
89,"Wolfgang Petersen",776217802,11,70565255
90,"Gareth Edwards",775228040,6,129204673
91,"Oliver Stone",765612122,22,34800551
92,"Eric Darnell",764270657,5,152854131
93,"Peter Farrelly",758730940,18,42151719
94,"Chris Sanders",757036241,5,151407248
95,"Paul Greengrass",753465880,12,62788823
