title,release_date,us_distributor,video_id
Missing Link,2019-04-18,United Artists Releasing,7UalKq-DSXI
Avengers: Endgame,2019-04-25,Disney,-9hhb3M6c1A
Teen Spirit,2019-04-25,Bleecker Street,CkA6DpQEKTU
"Silencio de los Otros, El",2019-04-25,Argot Pictures,i3ZEb8A6VKE
Sea Of Trees,2019-04-27,A24,7RsImMNbvNk
Long Shot (2019),2019-05-01,Lionsgate,ZKsc2I4Tgsk
Pokemon Detective Pikachu,2019-05-09,Warner Bros.,1roy4o4tqQM
Breakthrough (2019),2019-05-09,20th Century Fox,go1jaIRQc-o
"Intruder, The (2019)",2019-05-09,Sony,aKXvex7b1Ew
We Die Young,2019-05-09,Independent,wTd1RIOb-uU
"Beach Bum, The",2019-05-09,Neon Rated,qSALRP1mZNQ
John Wick: Chapter 3 - Parabellum (2019),2019-05-16,Lionsgate,M7XM597XO94
Fighting With My Family,2019-05-16,MGM,WqF3VTv0cqU
"Extremely Wicked, Shockingly Evil and Vile",2019-05-16,,mdMtnvMJcDA
"Dog's Journey, A",2019-05-16,Universal,A2FrrSyyKfA
Aladdin,2019-05-23,Disney,-G5XI61Y9ms
Brightburn,2019-05-23,Sony,g6eB0JT1DI4
"Kid, The",2019-05-23,Lionsgate,qpMyCaQGlqU
Godzilla: King Of The Monsters (2019),2019-05-30,Warner Bros.,QFxN2oDKk0E
Rocketman,2019-05-30,Paramount,S3vO8E2e6G0
"Poison Rose, The",2019-05-30,Independent,P6So71lcVdI
"Haunting Of Sharon Tate, The",2019-05-30,Independent,ICVydsoFTTk
"Rape of Recy Taylor, The",2019-05-30,The Orchard,SCEfwSNv9v8
Don't Let Go,2019-06-04,OTL Releasing,P8PS_tF-3T8
"Secret Life Of Pets 2, The",2019-06-06,Universal,mYocfuqu2A8
Dark Phoenix,2019-06-06,20th Century Fox,1-q8C_c-nlM
Men In Black International,2019-06-13,Sony,BV-WEb2oxLk
Poms,2019-06-13,STX Entertainment,-9PypHxfY_M
"Eyes Of Orson Welles, The",2019-06-13,Janus Films,qTCCwia1j00
"Hustle, The",2019-06-20,United Artists Releasing,_j5hwooOHVE
"Dead Don't Die, The",2019-06-20,Focus Features,bs5ZOcU6Bnw
Pavarotti,2019-06-20,CBS Films,CnPPrjwyLW8
"Vigilante, A",2019-06-20,Independent,XWIL6qaG-p8
Toy Story 4,2019-06-27,Disney,wmiIUN-7qhE
Annabelle Comes Home,2019-06-27,Warner Bros.,bCxm7cTpBAs
Soundgarden: Live From The Artists Den - The IMAX Experience,2019-07-01,Imax,LmUCNaaxnNQ
Spider-Man: Far From Home,2019-07-04,Sony,Nt9L1jCKGnE
Escape Plan 3: Devil's Station,2019-07-04,,jjezXlAefFQ
"Sun Is Also A Star, The",2019-07-04,Warner Bros.,3On0BXzGnuI
Stuber,2019-07-11,20th Century Fox,i5l6a5RiR1E
Crawl,2019-07-11,Paramount,H6MLJG0RdDE
Dragged Across Concrete,2019-07-11,Lionsgate Premiere Releasing,2p5pdWyyZoc
Her Smell,2019-07-11,Gunpowder & Sky,I0jtKmdlGVY
"Lion King, The",2019-07-18,Disney,7TavVZMewpY
Child's Play,2019-07-18,United Artists Releasing,ZFy8ZgLd574
Fast & Furious Presents: Hobbs & Shaw,2019-08-01,Universal,HZ7PAyCDwEg
Uglydolls,2019-08-01,STX Entertainment,qqlEGYo0xCA
"Professor, The",2019-08-01,Independent,IThXCpk3Oc4
Scary Stories To Tell In The Dark,2019-08-08,Lionsgate,Vlya92LZqZw
"Kitchen, The (2019)",2019-08-08,Warner Bros.,8BUgeJL0qD8
