Unnamed: 0,title,release_date,us_distributor,video_id
1,Shakira In Concert: El Dorado World Tour,2019-11-13,Trafalgar Releasing,8og9uOzDdiY
2,Ford v. Ferrari,2019-11-14,20th Century Fox,zyYgDtY2AMY
3,Motherless Brooklyn,2019-11-14,Warner Bros.,Fru8IkuDp_k
4,Frozen 2 (2019),2019-11-21,Disney,Zi4LMpSDccc
5,Depeche Mode: Spirits In The Forest,2019-11-21,Trafalgar Releasing,03rZB3AsLqM
6,MET Opera: Akhnaten (2019),2019-11-23,Fathom Entertainment,rSn_UAquOfw
7,Knives Out,2019-11-28,Lionsgate,qGqiHJTsRkQ
8,Charlie's Angels,2019-11-28,Sony,RSUq4VfWfjE
9,Where'd You Go Bernadette,2019-11-28,United Artists Releasing,Em1onUCArxs
10,Last Christmas,2019-12-05,Universal,z9CEIcmWmtA
11,"Aeronauts, The",2019-12-05,Independent,Rm4VnwCtQO8
12,Jumanji: The Next Level,2019-12-12,Sony,rBxcF-r9Ibs
13,21 Bridges,2019-12-12,STX Entertainment,BVZDhunTrYA
14,Star Wars: The Rise Of Skywalker,2019-12-19,Disney,NmS9ZX9O5bw
15,Can You Keep A Secret?,2019-12-19,Vertical Entertainment,3IM1vSNJw3Y
16,Apocalypse Now Final Cut (2019),2019-12-19,myCinema,036ZoFx1SVI
17,"Murder Of Nicole Brown Simpson, The",2019-12-19,Independent,txkFJoFQjAE
18,Spies In Disguise,2019-12-25,20th Century Fox,9eY2W7uUkDE
19,Jexi,2019-12-25,Lionsgate,8UqXUwgl15k
20,Cats,2019-12-26,Universal,FtSd844cI7U
21,"Grudge, The",2020-01-01,Sony,O2NKzO-fxwQ
22,Richard Jewell,2020-01-02,Warner Bros.,gSMxBLlA8qY
23,Plus One,2020-01-02,RLJ Entertainment,RZSeK851vZY
24,Beyond the mountains and hills,2020-01-09,Vertical Entertainment,yT4ZTwCjjGU
25,Dark Waters,2020-01-09,Focus Features,RvAOuhyunhY
26,Primal,2020-01-09,Independent,MLSaNBuKOXk
27,"Farewell, The",2020-01-09,A24,RofpAjqwMa8
28,Bad Boys For Life,2020-01-16,Sony,jKCj3XuPG8M
29,Dolittle,2020-01-16,Universal,FEf412bSPLs
30,Just Mercy,2020-01-16,Warner Bros.,GVQbeG5yW78
31,1917,2020-01-23,Universal,YqNYrYUiMfg
32,Bombshell,2020-01-23,Lionsgate,0rBnkBIhoFE
33,Disturbing The Peace,2020-01-23,Momentum Pictures,NVYPYwHYeyc
34,"Wedding Year, The",2020-01-23,Entertainment Studios Motion Pictures,qp9sbE8-1y8
35,Little Women,2020-01-30,Sony,AST2-4db4ic
36,Jojo Rabbit,2020-01-30,Fox Searchlight,tL4McUzXfFI
37,"Turning, The",2020-01-30,Universal,rl33gU2APIs
38,Birds Of Prey (And The Fantabulous Emancipation Of One Harley Quinn),2020-02-06,Warner Bros.,kGM4uYZzfu0
39,Lying And Stealing,2020-02-06,Vertical Entertainment,mKXa10VDQj4
40,Thriller,2020-02-06,,CAt339xT-ZE
41,Bigger,2020-02-06,Freestyle Releasing,QbTJiAKvww0
42,Sonic The Hedgehog,2020-02-13,Paramount,szby7ZHLnkA
43,Blumhouse's Fantasy Island,2020-02-13,Sony,a6O30nJ02PU
44,"Lighthouse, The (2019)",2020-02-14,A24,Hyag7lR8CPA
45,"Call of the Wild, The",2020-02-20,20th Century Fox,5P8R2zAhEwg
46,Gretel And Hansel,2020-02-20,United Artists Releasing,QZblQLhKcZQ
47,Trauma Center,2020-02-20,Independent,Y2DrOhVpPZo
48,"Gentlemen, The",2020-02-27,STX Entertainment,Ify9S7hj480
49,Brahms: The Boy II,2020-02-27,STX Entertainment,ytxEldPKnyA
50,Like A Boss,2020-02-27,Paramount,9ESkyRFEso4
